A01,,A02,,A03,,A04,,A05,,A06,,A07,,A08,,A09,,A10,
49.54385075,10795.78449,49.70787928,10763.60348,49.23087064,13721.69725,49.71360315,13703.0843,49.20655148,14103.25261,49.33434307,9833.859492,49.42389881,13553.0917,49.4942942,11921.37165,49.26813277,13635.72792,49.15591291,13585.3834
49.82758883,10784.63389,50.1344845,10833.93922,49.01651389,13722.47375,48.63735178,13676.86231,49.15699737,14183.01452,49.14030334,9837.258275,49.41013532,13485.92585,49.86714203,12072.03891,49.73063585,13586.29997,49.87216524,13537.72798
50.69958809,10745.05451,50.48078289,10859.71903,50.11338764,13720.16969,50.40054232,13683.90303,50.16057795,14237.60834,49.45974742,9856.243169,49.94870341,13733.60961,49.77858899,12049.91004,50.17002607,13662.50915,50.23629935,13639.60919
50.57375174,10789.27631,50.61310018,10786.05256,49.51994066,13807.61387,49.12620653,13844.0869,50.46838856,14251.57625,50.50124231,9799.274942,50.54313348,13773.45337,50.46978456,12078.91118,50.43468702,13792.44674,50.94996997,13756.82122
51.13493545,10837.34948,51.52430098,10747.26595,50.58156615,13850.10982,51.04624968,13817.00301,50.26898464,14210.37851,49.93689426,9746.302322,50.5469836,14087.7479,51.36292249,12135.42195,50.66624166,13939.271,50.72095242,14066.18061
51.93673523,10756.93335,51.79677331,10791.69846,50.38805772,13743.567,50.02235638,13729.79017,50.81996131,14387.0392,50.96726282,9939.672499,52.00386119,14041.37018,51.25553231,12077.17138,51.27642876,13978.2195,51.93554333,13981.83629
51.72528338,10904.64253,51.72841051,11014.75938,51.50408113,13842.13569,51.55017056,13809.48256,50.88220404,14338.11876,51.49585639,9628.00503,52.12733465,13930.72391,51.29688535,12085.66014,51.58538562,13865.24555,51.6787018,13967.58691
51.55469471,10860.02903,51.40645368,10786.7998,51.48771618,13745.5714,51.50502056,13792.97744,51.87970133,14508.54622,50.499849,9620.919441,51.01558401,14181.74806,52.25781212,12207.52555,51.73179103,13985.96658,51.47452878,14095.1208
52.81007871,10924.61336,53.50428126,10959.95092,51.62231392,13838.74769,51.30647472,13812.04152,51.18997108,14496.94406,52.15148388,9936.196252,53.17251435,13923.37389,52.63124188,12223.58369,52.26571643,14007.31701,53.12601015,13998.67551
52.46496544,10840.43237,52.62902378,10793.43375,52.34235951,13903.98764,52.45666357,13893.01063,52.14795064,14570.9429,51.55150607,9674.73277,52.63634059,14057.96044,52.81517778,12118.74886,52.27892651,14098.24442,52.84179916,14109.88039
52.68045354,10813.86734,52.0730966,10845.92273,52.36727909,13966.85438,52.57636285,13947.28678,52.62127887,14601.56824,52.35238308,10205.87374,53.24453708,14167.34435,53.03320357,12136.61782,52.55414279,14150.64049,52.91801744,14203.20016
53.59720902,10862.66825,53.28823996,10817.18554,53.48041775,14036.4878,53.80090863,14070.73965,52.41285685,14577.61441,53.07854715,9800.134692,53.90168759,14375.76705,53.4760188,12358.67759,52.68854605,14243.78268,52.98732654,14426.8598
54.18646215,10935.71978,54.52495247,10825.86265,53.59487368,13938.96054,53.5793815,13898.75027,53.20861193,14583.46372,53.12601636,10111.52578,53.63565174,14200.37236,52.65206184,12262.15782,53.14902922,14160.09939,53.2957354,14201.61053
